"codigo_postal","latitud","longitud"
20000,21.8811912536621,-102.296142578125
20010,21.894021987915,-102.313606262207
20016,21.8986034393311,-102.319114685059
21000,32.6418380737305,-115.474250793457
21010,32.6509323120117,-115.467971801758
21020,32.6545104980469,-115.455757141113
21030,32.6445655822754,-115.462280273438
21038,32.6415138244629,-115.454368591309
23000,24.1527976989746,-110.31103515625
23007,24.1488723754883,-110.30680847168
23009,24.1612663269043,-110.317977905273
23010,24.1676235198975,-110.295112609863
23017,24.1755847930908,-110.29524230957
23018,24.1715888977051,-110.29207611084
24000,19.8455696105957,-90.5368728637695
24010,19.8486576080322,-90.5274200439453
24014,19.8557262420654,-90.5250091552734
24020,19.851842880249,-90.5151443481445
25000,25.4217224121094,-101.000114440918
25008,25.4217300415039,-101.000114440918
25010,25.4060249328613,-100.938148498535
28000,19.2407188415527,-103.724739074707
28010,19.2562408447266,-103.696929931641
28012,19.2408905029297,-103.724479675293
28014,19.2475280761719,-103.710182189941
28016,19.2539348602295,-103.715446472168
28017,19.2608394622803,-103.717582702637
29000,16.7572269439697,-93.1190032958984
29007,16.7450408935547,-93.0949249267578
29008,16.7345218658447,-93.1173400878906
29009,16.7609710693359,-93.1305923461914
29010,16.7659854888916,-93.0990829467773
31000,28.6362991333008,-106.07544708252
31008,28.6363086700439,-106.07544708252
31009,28.6363086700439,-106.07544708252
1000,19.3494453430176,-99.1935882568359
1010,19.3590335845947,-99.1960830688477
1020,19.3575630187988,-99.1858673095703
1030,19.3611640930176,-99.1818008422852
1040,19.3575420379639,-99.1919021606445
1049,19.3533973693848,-99.1955413818359
1050,19.3488388061523,-99.1831207275391
1060,19.3502330780029,-99.1957931518555
34000,24.0247001647949,-104.661231994629
34005,24.0197010040283,-104.675994873047
34008,24.0214538574219,-104.670219421387
34009,24.0277347564697,-104.671722412109
20018,21.8993835449219,-102.320762634277
20020,21.895414352417,-102.3056640625
20029,21.9004859924316,-102.305953979492
20030,21.8951797485352,-102.296859741211
20040,21.8891983032227,-102.315841674805
20049,21.8930282592773,-102.323547363281
20050,21.8892040252686,-102.302398681641
20059,21.8857975006104,-102.303840637207
20060,21.8832530975342,-102.315773010254
20064,21.8831100463867,-102.321029663086
20070,21.8836669921875,-102.311492919922
20078,21.8792190551758,-102.320945739746
20080,21.8768253326416,-102.309524536133
20089,21.874626159668,-102.32103729248
20100,21.9357204437256,-102.327690124512
20110,21.926441192627,-102.312950134277
20115,21.9249782562256,-102.303405761719
20116,21.9322776794434,-102.309936523438
20117,21.8756332397461,-102.281646728516
20118,21.9348316192627,-102.317512512207
20119,21.9245738983154,-102.317054748535
20120,21.9221630096436,-102.301322937012
20123,21.9351348876953,-102.289703369141
20124,21.9255027770996,-102.293586730957
20126,21.9426193237305,-102.281555175781
36000,21.0170364379883,-101.254547119141
36003,21.0176239013672,-101.24885559082
36008,21.0170440673828,-101.254547119141
36009,21.0170440673828,-101.254547119141
36010,21.0308971405029,-101.254165649414
36013,21.023998260498,-101.255706787109
39000,17.5515480041504,-99.500617980957
39008,17.5380935668945,-99.4976654052734
39009,17.5529651641846,-99.500129699707
39010,17.5693912506104,-99.5152587890625
42000,20.123363494873,-98.7363739013672
42004,20.1297874450684,-98.7326049804688
42010,20.1343955993652,-98.731689453125
42014,20.1390724182129,-98.7297592163086
42015,20.13547706604,-98.7338104248047
44100,20.674934387207,-103.347412109375
44110,20.6730308532715,-103.391189575195
44130,20.6707935333252,-103.384788513184
44140,20.6729984283447,-103.373870849609
44150,20.6670627593994,-103.370079040527
44158,20.6718082427979,-103.377471923828
44160,20.6738109588623,-103.362945556641
50000,19.2921047210693,-99.6566848754883
50010,19.3116092681885,-99.6422882080078
58000,19.7014312744141,-101.192253112793
58002,19.6581554412842,-101.229164123535
58004,19.7018814086914,-101.192344665527
58006,19.7018814086914,-101.192344665527
58009,19.6812553405762,-101.181144714355
58010,19.6945114135742,-101.198150634766
62000,18.9220085144043,-99.2364883422852
62009,18.9221076965332,-99.2365341186523
62010,18.9259777069092,-99.2493743896484
62017,18.9169254302979,-99.2442474365234
62018,18.9247913360596,-99.2522430419922
62019,18.927059173584,-99.2514877319336
63000,21.5119800567627,-104.891639709473
63009,21.4777526855469,-104.84342956543
63010,21.5234718322754,-104.890296936035
63018,21.5378875732422,-104.894454956055
63019,21.5346412658691,-104.889358520508
64000,25.6654300689697,-100.310165405273
64004,25.6772022247314,-100.332252502441
64007,25.6654396057129,-100.310165405273
64009,25.6654396057129,-100.310165405273
64010,25.679594039917,-100.291320800781
64018,25.675121307373,-100.297691345215
64019,25.6680660247803,-100.299964904785
21039,32.6457557678223,-115.451293945312
21040,32.6346473693848,-115.458480834961
21050,32.6330299377441,-115.49146270752
21060,32.6343955993652,-115.477432250977
21070,32.6334381103516,-115.469459533691
21079,32.6338691711426,-115.472427368164
21080,32.6313514709473,-115.482582092285
21090,32.6296920776367,-115.468658447266
21100,32.6615371704102,-115.473121643066
